individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge
32040,32040,,blood,serum,,frozen,,,,,FALSE,FALSE,
32040,32040GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32040,32040H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32040,32040X34,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32040,32040LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32040,32040CVLB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32040,32040NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32040,32040ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042,,blood,serum,,frozen,,,,,FALSE,FALSE,
32042,32042GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042X34,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042CVLB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,32042ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32042,"32042TS1,7",,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32043,32043,,blood,serum,,frozen,,,,,FALSE,FALSE,
32043,32043LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32043,32043rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,
32044,32044,,blood,serum,,frozen,,,,,FALSE,FALSE,
32044,32044GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044X34,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044LFI,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044CVLB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,"32044TS2,6,8,9",,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32044,32044rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,
32045,32045,,blood,serum,,frozen,,,,,FALSE,FALSE,
32046,32046,,blood,serum,,frozen,,,,,FALSE,FALSE,
32046,32046GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32046,32046H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32046,32046LIF,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32046,32046LB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32046,32046NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32046,32046ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32046,32046rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,
32047,32047,,blood,serum,,frozen,,,,,FALSE,FALSE,
32047,32047rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,
32048,32048rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,
32049,32049,,blood,serum,,frozen,,,,,FALSE,FALSE,
32049,32049rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,
32050,32050,,blood,serum,,frozen,,,,,FALSE,FALSE,
32050,32050CDIF,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
32050,32050H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,
