individualID,individualIdSource,species,sex,genotype,genotypeBackground,room,litter,matingID,dateBirth,dateDeath,treatmentType,Climb_Identifier,ExternalIdentifier,StockNumber,OfficialName,modelSystemName,CurrentLocationPath,MaterialOrigin,AnimalStatus,ExitReason,PhysicalMarker,Generation,AnimalMatingStatus,Comments,jobNumber,Microchip Number,Diet,Birth ID,brainWeight,animalWeight,modelCommonName
10000000,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,9/5/18,,,318902,141,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 Month,10000000,6%,,21.3,0.47,5XFAD
10000001,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,8/5/18,,,318900,149,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 Month,10000001,6%,,,,5XFAD
10000003,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,7/1/18,,,318890,152,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 Month,10000003,6%,,,,5XFAD
10000004,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,7/1/18,,,318891,l-115,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 Month,10000004,6%,,,,5XFAD
10000005,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,7/1/18,,,319881,l-97,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 Month,10000005,6%,,,,5XFAD
100000010,IU,Mouse,female,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,M-261-17,6/23/18,6/25/19,,310298,630,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,630,,Virgin,,B6 12 month AV45,100000010,6%,109C,,,5XFAD
100000015,IU,Mouse,female,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,M-1228-17,7/3/18,6/25/19,,310306,638,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,638,,Virgin,,B6 12 month AV45,100000015,6%,109C,,,5XFAD
103018092,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305609,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018092,6%,109C,,,5XFAD
103018093,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305599,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018093,6%,109C,,,5XFAD
103018094,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305611,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018094,6%,109C,,,5XFAD
103018095,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305601,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018095,6%,109C,,,5XFAD
103018096,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305610,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018096,6%,109C,,,5XFAD
103018097,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305600,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018097,6%,109C,,,5XFAD
103018098,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305602,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018098,6%,109C,,,5XFAD
103018099,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305612,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018099,6%,109C,,,5XFAD
103018100,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305613,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018100,6%,109C,,,5XFAD
103018101,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305614,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018101,6%,109C,29,0.47,5XFAD
103018102,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305616,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018102,6%,109C,,,5XFAD
103018103,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/24/18,10/30/18,,305603,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018103,6%,109C,,,5XFAD
103018104,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305615,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018104,6%,109C,,,5XFAD
103018105,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305604,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018105,6%,109C,20.4,0.49,5XFAD
103018106,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305617,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018106,6%,109C,,,5XFAD
103018107,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305606,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018107,6%,109C,,,5XFAD
103018114,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305605,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018114,6%,109C,,,5XFAD
103018115,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305607,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018115,6%,109C,,,5XFAD
103018116,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305618,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018116,6%,109C,,,5XFAD
103018123,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,6/27/18,10/30/18,,305608,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 month,103018123,6%,109C,,,5XFAD
286688317,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,7/26/17,9/17/18,,264073,115,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,4 Month,286688317,6%,,21.5,0.5,5XFAD
287143252,IU,Mouse,female ,5XFAD_carrier,C57BL6J,IU-NB-109C,,,7/29/17,7/25/18,,264112,125,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 month AV45,287143252,6%,,,,5XFAD
288593130,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,7/27/17,7/25/18,,264086,99,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 month AV45,288593130,6%,,,,5XFAD
288593247,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,9/4/17,3/6/18,,266769,215,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,215,,Virgin,,B6 6 month FDG,288593247,6%,,,,5XFAD
288597047,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,8/31/17,8/28/18,,266268,204,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,204,,Virgin,,B6 12 month FDG,288597047,6%,,,,5XFAD
288597289,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,9/2/17,8/28/18,,266766,225,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,225,,Virgin,,B6 12 month FDG,288597289,6%,,,,5XFAD
288597841,IU,Mouse,male,5XFAD_carrier,C57BL6J,IU-NB-109C,,,4/27/17,10/30/17,,264045,1,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,6 month AV45,288597841,6%,,,,5XFAD
288597914,IU,Mouse,male,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,7/31/17,2/7/18,,264098,111,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,111,,Virgin,,B6 6 month FDG,288597914,6%,,,,5XFAD
288601191,IU,Mouse,female ,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,,8/19/17,8/14/18,,269526,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,,,Virgin,,12 month,288601191,6%,109C,,,5XFAD
288601306,IU,Mouse,female,5XFAD_noncarrier,C57BL6J,IU-NB-109C,,M-158-17,9/25/17,9/13/18,,267586,244,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,IU,H.Harvested,H.Harvested,244,,Virgin,,B6 12 month FDG,288601306,6%,109C,,,5XFAD
